Emer_to_har,Seedling_stage,total_length,Max_temp,Min_temp,Temp_range,Total_precip_days,Wet_day_freq,Drought_days,hum,Sun_light,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,Rice_yield
137,14,151,30.45,18.35,12.1,471.7999973,46,5,73.3534721,27005.63,0.716551137,0.799977149,0.627031285,0.522531502,0.6489197,0.570961745,0.475959635,0.531403055,0.482221254,8197.468354
140,13,153,30.45,18.51,11.94,485.0999978,53,8,69.7400497,35957.62,0.604322615,0.831626957,0.650825829,0.392200624,0.538373468,0.487867563,0.365814235,0.516558487,0.426590021,8346.55914
139,12,151,30.45,18.51,11.94,481.4999976,57,10,78.49501163,35827.76,0.365349685,0.859176215,0.729637624,0.248675953,0.71375468,0.612002422,0.234187407,0.620847303,0.53809747,10451.16279
122,36,158,30.45,18.51,11.94,498.6999988,53,8,77.72564086,29782.81,0.482858226,0.815478612,0.697581833,0.318008107,0.722049625,0.542151498,0.294221865,0.610053582,0.480993712,9414.285714
126,17,143,29.05,18.51,10.54,452.399998,40,20,66.17567568,32561.95,0.490809834,0.901209544,0.74523141,0.297234626,0.51651905,0.590127841,0.2764723,0.510759775,0.551854032,10028.57143
128,16,144,29.05,18.51,10.54,454.8999981,50,9,82.37962951,30634.65,0.587784502,0.771135572,0.547328432,0.397024405,0.506310088,0.376742267,0.365903105,0.47749378,0.353315726,6331.333333
124,14,138,29.05,18.51,10.54,429.7999977,57,9,78.51543191,29914.89,0.363468274,0.816743772,0.596156528,0.262632142,0.65069893,0.441032011,0.244163769,0.572766734,0.402954121,8003.506494
128,10,138,30.45,17.71,12.74,400.1999974,46,22,70.08966659,36010.64,0.513579219,0.798891239,0.627532959,0.473493148,0.608158541,0.508349752,0.387446369,0.536457981,0.455188833,8379.047619
139,7,146,30.77,17.71,13.06,488.0000012,49,8,79.24475316,33109.41,0.481096778,0.787012724,0.797919797,0.394780914,0.648559535,0.51806211,0.358485825,0.562866703,0.455806832,8954.929577
132,22,154,31.59,17.71,13.88,637.0000049,54,10,77.4787807,33846.89,0.609301115,0.788221048,0.610914953,0.338367349,0.534895879,0.408527904,0.327837753,0.495375531,0.401391274,8400.535714
126,24,150,31.59,17.71,13.88,608.1000103,54,6,77.93511456,28029.33,0.655764398,0.892507118,0.717953604,0.484992532,0.683198564,0.533653197,0.446659475,0.621334432,0.507242552,7449.90099
127,30,157,31.59,17.71,13.88,623.30001,45,8,79.04527562,31351.03,0.522406175,0.781495599,0.746520329,0.365364333,0.629175603,0.587044649,0.348857964,0.552817587,0.533248444,8705.063291
126,23,149,31.59,17.71,13.88,636.9000118,52,10,79.11965809,28050.93,0.514356653,0.837653438,0.586224261,0.307682088,0.528526453,0.512225785,0.286352118,0.512958351,0.40867406,7812.878788
129,21,150,31.59,17.71,13.88,642.5000118,52,9,74.69110271,32357.21,0.595344286,0.859526615,0.65018714,0.394127448,0.620537421,0.512485281,0.377123347,0.578741837,0.46580275,8597.727273
140,16,156,31.59,18.53,13.06,674.3000113,50,7,73.25404233,33517.38,0.472178161,0.81921573,0.702021111,0.267437573,0.541982814,0.515785218,0.268962114,0.513619004,0.469770498,7543.010753
136,13,149,31.59,18.53,13.06,658.200011,55,10,79.69638476,33501.88,0.484208286,0.845633277,0.691582298,0.328499409,0.613784784,0.552012071,0.313517731,0.530940963,0.493280579,7872.043011
120,24,144,31.59,18.13,13.46,618.8000088,51,7,73.33241424,33780.56,0.454706396,0.818174087,0.673533549,0.264747459,0.514618125,0.475360348,0.267729314,0.497842151,0.439236473,6750.549451
124,17,141,31.25,18.13,13.12,606.0000096,52,10,79.77098761,32997.97,0.49442605,0.81131699,0.587929712,0.33917767,0.600172406,0.5135348,0.322101975,0.538241406,0.41120364,7383.516484
123,17,140,31.25,18.13,13.12,580.1000117,50,14,78.10237048,25724.04,0.651542188,0.808495407,0.691126299,0.403455537,0.5390229,0.47506009,0.387187178,0.504468135,0.464413325,7200
127,13,140,31.25,18.13,13.12,563.7000117,43,21,62.88075857,37650.3,0.64734,0.863191562,0.743524,0.486925,0.788889065,0.647596,0.485246,0.666478652,0.58275,8985.27027
126,24,150,30.68,18.13,12.55,581.8000127,50,6,77.97744343,30114.15,0.33492183,0.805765722,0.676346264,0.21708398,0.584083908,0.492175954,0.22385929,0.536810547,0.441221068,6943.076923
130,16,146,30.68,18.13,12.55,597.2000126,57,9,70.95250576,36698.33,0.655683059,0.833496757,0.714355621,0.494998179,0.722598835,0.548435783,0.442861515,0.619748663,0.496978881,7789.130435
132,15,147,30.68,18.13,12.55,604.9000124,45,6,79.20420083,25529.06,0.579028305,0.720506322,0.732869348,0.374495237,0.807138532,0.588295323,0.34251898,0.584278741,0.53127622,7907.826087
130,10,140,30.68,18.31,12.37,579.2000108,53,7,78.62433309,25868.76,0.530134424,0.816292313,0.687924059,0.470771226,0.683807146,0.46,0.374741846,0.597786046,0.481701145,8693.230769
