emer_season,emer_har,seed_stage,total_length,avg_temp,max_temp,min_temp,temp_range,total_precip,precip_airport_meteo,precip_airport,wet_day_freq,drought_days,hum,sunlight,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,yield
SON,120,11,131,23.25,33.29,17.85,15.44,400.3999966,531.2,600.9,45,14,69.8711805,30766.87,0.726160078,0.81297086,0.606986444,0.6072481,0.592808819,0.47079878,0.514037162,0.536318592,0.462387335,8432.142857
MAM,130,10,140,23.3,31.59,17.71,13.88,505.4999999,698.9,750.2,53,6,72.74104927,30807.39,0.53452235,0.749736024,0.657626889,0.452543636,0.621745471,0.456934317,0.42242535,0.536980222,0.439019324,8543.787879
JJA,124,20,144,23.26,31.59,17.71,13.88,551.3999996,716.5,720.4,59,6,73.83799516,30824.74,0.532157134,0.782230134,0.589810333,0.365052042,0.677939228,0.427853106,0.341443881,0.581139922,0.409969965,9181.875
MAM,120,12,132,24.09,34.47,16.9,17.57,494.4000063,794.9,790.1,60,6,73.93229147,30842.33,0.524552,0.793161998,0.639992,0.488924,0.674011504,0.41446,0.3995235,0.580902544,0.454774,9469.202454
DJF,115,19,134,23.97,33.29,18.77,14.52,444.7000062,824,1075.2,56,6,73.04861099,30848.99,0.626624208,0.728856135,0.623702152,0.435008288,0.557138395,0.413247414,0.408264059,0.497641447,0.405820842,7040.860215
JJA,136,20,156,24.22,32.92,17.52,15.4,691.7000104,774.95,753.8,45,8,73.58933325,30905.59,0.562321669,0.893599703,0.651017952,0.348154515,0.704623365,0.546977434,0.33721794,0.638129781,0.478258129,8987.804878
DJF,134,11,145,22.66,30.45,18.35,12.1,450.8999987,757.6,933.1,57,8,78.68735211,31082.16,0.333346174,0.823035344,0.718821172,0.215659656,0.714675883,0.554839984,0.203840613,0.608715548,0.503905195,8283.333333
JJA,124,28,152,23.01,31.59,17.71,13.88,619.2000099,785.9,848.7,52,9,75.21059426,31174.77,0.649479974,0.843914822,0.689303532,0.459840082,0.706205222,0.576490895,0.426692849,0.62780102,0.516368567,8967.105263
DJF,131,13,144,22.66,30.45,18.35,12.1,443.4999997,757.6,933.1,51,6,71.65309333,31199.13,0.769752011,0.817368411,0.716624321,0.617311588,0.716564519,0.578685551,0.532866735,0.592704303,0.519144671,7592.222222
JJA,137,20,157,23.29,32.92,15.81,17.11,656.3000061,760.75,798.7,50,10,81.98796284,31365.76,0.588334984,0.783624835,0.54544396,0.388512081,0.488268988,0.355123071,0.361757738,0.467213406,0.334828859,7277.564103
MAM,132,6,138,24.53,32.92,17.52,15.4,627.6000129,772.9,660.1,52,10,80.14294862,31509.12,0.55202845,0.806827549,0.56623399,0.369375587,0.574091748,0.490491271,0.351474861,0.541663759,0.414562004,7750.381679
JJA,126,5,131,23.09,32.23,17.64,14.59,541.9999976,701.35,648.4,48,9,78.45469565,31710.22,0.472487245,0.822424095,0.677886942,0.287076089,0.612771676,0.565896847,0.277268301,0.550431514,0.513964442,8385
MAM,129,10,139,23.1,30.77,17.71,13.06,446.7999994,592,692.6,52,6,70.60606052,32047.32,0.637229218,0.801319529,0.772223694,0.441925249,0.714794754,0.590408163,0.446847384,0.606365273,0.551239532,7915.662651
MAM,116,10,126,23.37,31.59,17.71,13.88,412.200004,531.9,498.3,50,9,78.72868202,32107.03,0.544272826,0.840541358,0.761161273,0.354939281,0.66103178,0.615648929,0.337329239,0.586684578,0.56405761,11394.15042
DJF,119,30,149,22.17,30.68,17.83,12.85,552.2000039,934.9,1222.2,54,18,71.59560701,32131.36,0.579210104,0.827155307,0.663427609,0.396396875,0.624824857,0.511072448,0.365987775,0.566640103,0.465252254,7965.671642
